
Box(-inf, inf, (111,), float64)
global_step=57344, return_per_episode=-706.826904296875
SPS: 370
global_step=57392, return_per_episode=-44.00833511352539
global_step=57467, return_per_episode=-78.85396575927734
global_step=57541, return_per_episode=-53.53771209716797
global_step=57689, return_per_episode=-87.36573791503906
global_step=57725, return_per_episode=-34.8609504699707
global_step=57815, return_per_episode=-44.62668991088867
global_step=57862, return_per_episode=-58.3991584777832
global_step=57880, return_per_episode=-14.618322372436523
global_step=57893, return_per_episode=-13.751387596130371
global_step=57992, return_per_episode=-155.9929656982422
global_step=58072, return_per_episode=-31.61905860900879
global_step=58125, return_per_episode=-20.63924217224121
global_step=58157, return_per_episode=-17.674259185791016
global_step=58288, return_per_episode=-74.30366516113281
global_step=58315, return_per_episode=-13.699625015258789
global_step=58355, return_per_episode=-27.95917510986328
global_step=58395, return_per_episode=-7.8733038902282715
global_step=58549, return_per_episode=-132.97933959960938
global_step=58650, return_per_episode=-71.53053283691406
global_step=58701, return_per_episode=-18.820493698120117
global_step=58731, return_per_episode=-12.541166305541992
global_step=58892, return_per_episode=-46.555397033691406
global_step=58955, return_per_episode=-85.2543716430664
global_step=59124, return_per_episode=-167.9906463623047
global_step=59146, return_per_episode=-2.159700870513916
SPS: 372
global_step=60146, return_per_episode=-718.9605712890625
global_step=60225, return_per_episode=-109.34602355957031
global_step=60370, return_per_episode=-68.80070495605469
global_step=60505, return_per_episode=-132.5493621826172
global_step=60609, return_per_episode=-141.10140991210938
global_step=60676, return_per_episode=-92.6505355834961
global_step=60709, return_per_episode=-28.17258071899414
SPS: 373
global_step=61709, return_per_episode=-722.4019775390625
global_step=61920, return_per_episode=-120.83829498291016
global_step=61946, return_per_episode=-27.031524658203125
global_step=62946, return_per_episode=-712.8093872070312
SPS: 375
global_step=63946, return_per_episode=-704.239990234375
global_step=64070, return_per_episode=-85.00735473632812
global_step=64115, return_per_episode=-23.61536979675293
global_step=64159, return_per_episode=-40.209320068359375
global_step=65159, return_per_episode=-639.2406616210938
global_step=65241, return_per_episode=-62.81088638305664
global_step=65368, return_per_episode=-99.99796295166016
global_step=65386, return_per_episode=-18.024166107177734
global_step=65417, return_per_episode=17.853485107421875
global_step=65495, return_per_episode=-61.9653434753418
global_step=65530, return_per_episode=-42.36800765991211
SPS: 376
global_step=65541, return_per_episode=-13.847967147827148
global_step=65561, return_per_episode=-18.236330032348633
global_step=65575, return_per_episode=-14.226921081542969
global_step=65596, return_per_episode=-7.141144752502441
global_step=65635, return_per_episode=-49.297786712646484
global_step=65716, return_per_episode=-50.96464920043945
global_step=65759, return_per_episode=5.465348243713379
global_step=65877, return_per_episode=-101.36093139648438
global_step=66095, return_per_episode=-58.30574417114258
global_step=66387, return_per_episode=-170.3582763671875
global_step=66410, return_per_episode=-12.386253356933594
global_step=66603, return_per_episode=-107.22962951660156
global_step=66658, return_per_episode=-48.513145446777344
global_step=66689, return_per_episode=-17.17032814025879
global_step=66728, return_per_episode=-41.10140609741211
SPS: 378
global_step=67728, return_per_episode=-591.4913940429688
global_step=67967, return_per_episode=-43.6317253112793
global_step=68014, return_per_episode=-31.979963302612305
global_step=68026, return_per_episode=-3.4699244499206543
global_step=68143, return_per_episode=-47.766204833984375
global_step=68167, return_per_episode=-11.654440879821777
global_step=68371, return_per_episode=17.082685470581055
global_step=68387, return_per_episode=-2.1616547107696533
global_step=68467, return_per_episode=-56.863616943359375
global_step=68522, return_per_episode=-21.806995391845703
global_step=68534, return_per_episode=-5.178524494171143
global_step=68555, return_per_episode=-14.442596435546875
global_step=68624, return_per_episode=-42.00354766845703
global_step=68724, return_per_episode=-87.3005142211914
global_step=68759, return_per_episode=-0.3082195520401001
global_step=68824, return_per_episode=-80.47953033447266
global_step=68912, return_per_episode=-56.917633056640625
global_step=69000, return_per_episode=-32.08225631713867
SPS: 380
global_step=70000, return_per_episode=-526.4468383789062
